,value
Week1,118.2
Week2,103.21
Week3,120.6
Week4,122.25
Week5,125.4
Week6,95.15
Week7,128.86
Week8,134.71
Week9,94.97
Week10,79.22
Week11,68.79
Week12,80.54
Week13,87.77
Week14,101.35
Week15,97.14
Week16,74.89
Week17,88.45
Week18,70.18
Week19,84.52
Week20,80.73
Week21,79.88
Week22,84.84
Week23,64.1
Week24,59.15
Week25,93.08
Week26,83.31
Week27,67.72
Week28,84.93
Week29,88.09
Week30,95.1
Week31,84.7
Week32,116.93
Week33,53.49
Week34,95.73
Week35,84.36
Week36,85.72
Week37,79.49
Week38,108.57
Week39,100.95
Week40,93.71
Week41,113.36
Week42,101.76
Week43,82.48
Week44,60.82
Week45,92.47
Week46,91.24
Week47,76.51
Week48,78.81
Week49,82.55
Week50,102.05
Week51,77.12
Week52,65.43
