,value
Week1,98.76
Week2,100.13
Week3,100.21
Week4,93.87
Week5,93.53
Week6,110.16
Week7,101.16
Week8,101.08
Week9,125.44
Week10,95.56
Week11,109.52
Week12,83.94
Week13,119.03
Week14,94.22
Week15,105.9
Week16,107.09
Week17,82.37
Week18,124.75
Week19,84.87
Week20,107.64
Week21,110.7
Week22,90.64
Week23,107.53
Week24,134.2
Week25,126.19
Week26,120.63
Week27,101.23
Week28,121.46
Week29,103.4
Week30,133.37
Week31,79.17
Week32,102.56
Week33,94.57
Week34,97.53
Week35,122.23
Week36,123.74
Week37,95.13
Week38,151.3
Week39,144.4
Week40,134.08
Week41,133.0
Week42,112.53
Week43,104.6
Week44,125.06
Week45,118.62
Week46,113.18
Week47,87.42
Week48,101.46
Week49,141.03
Week50,116.61
Week51,106.5
Week52,115.95
