,value
Week1,88.08
Week2,93.22
Week3,129.76
Week4,88.29
Week5,98.59
Week6,109.31
Week7,114.65
Week8,104.21
Week9,102.41
Week10,75.95
Week11,91.44
Week12,67.9
Week13,98.23
Week14,86.95
Week15,86.8
Week16,76.09
Week17,93.25
Week18,105.69
Week19,113.19
Week20,80.62
Week21,91.54
Week22,135.14
Week23,96.4
Week24,108.56
Week25,99.73
Week26,100.23
Week27,95.76
Week28,104.48
Week29,90.68
Week30,75.93
Week31,104.09
Week32,74.04
Week33,74.54
Week34,82.18
Week35,71.64
Week36,113.52
Week37,89.24
Week38,101.36
Week39,75.37
Week40,91.41
Week41,91.29
Week42,72.75
Week43,86.4
Week44,88.68
Week45,89.2
Week46,66.95
Week47,89.97
Week48,74.93
Week49,103.25
Week50,68.45
Week51,58.92
Week52,76.99
