,value
Week1,112.4
Week2,83.67
Week3,124.33
Week4,111.39
Week5,77.63
Week6,95.8
Week7,97.57
Week8,91.04
Week9,97.16
Week10,87.26
Week11,93.59
Week12,117.82
Week13,91.7
Week14,98.91
Week15,98.44
Week16,110.16
Week17,122.3
Week18,112.63
Week19,111.9
Week20,101.15
Week21,113.25
Week22,125.41
Week23,131.18
Week24,109.23
Week25,96.22
Week26,119.26
Week27,132.29
Week28,126.97
Week29,107.26
Week30,143.97
Week31,101.9
Week32,90.56
Week33,134.89
Week34,92.29
Week35,91.59
Week36,109.57
Week37,84.04
Week38,108.03
Week39,97.25
Week40,140.36
Week41,118.17
Week42,100.04
Week43,100.3
Week44,122.37
Week45,111.66
Week46,130.78
Week47,129.21
Week48,106.21
Week49,123.33
Week50,97.48
Week51,90.69
Week52,137.13
