,value
Week1,92.27
Week2,80.38
Week3,124.77
Week4,115.16
Week5,111.82
Week6,98.96
Week7,93.33
Week8,103.48
Week9,124.56
Week10,126.63
Week11,115.59
Week12,95.09
Week13,107.98
Week14,80.11
Week15,114.77
Week16,84.98
Week17,100.62
Week18,134.91
Week19,104.96
Week20,97.59
Week21,93.19
Week22,81.31
Week23,64.84
Week24,91.65
Week25,74.96
Week26,87.47
Week27,88.74
Week28,85.78
Week29,89.69
Week30,85.86
Week31,90.45
Week32,85.0
Week33,91.44
Week34,73.03
Week35,115.78
Week36,58.29
Week37,95.25
Week38,88.83
Week39,73.06
Week40,102.86
Week41,84.9
Week42,74.65
Week43,70.08
Week44,59.25
Week45,119.18
Week46,72.87
Week47,91.49
Week48,86.19
Week49,70.06
Week50,84.54
Week51,76.4
Week52,93.53
