,value
Week1,102.76
Week2,86.11
Week3,77.51
Week4,107.83
Week5,119.63
Week6,110.98
Week7,158.06
Week8,84.97
Week9,65.75
Week10,100.9
Week11,79.28
Week12,128.14
Week13,103.83
Week14,119.01
Week15,98.2
Week16,126.45
Week17,91.09
Week18,102.53
Week19,87.27
Week20,113.91
Week21,83.98
Week22,121.12
Week23,108.35
Week24,95.14
Week25,120.52
Week26,73.8
Week27,105.47
Week28,141.3
Week29,91.39
Week30,129.91
Week31,107.96
Week32,160.2
Week33,99.16
Week34,120.1
Week35,126.75
Week36,99.54
Week37,123.55
Week38,130.32
Week39,127.1
Week40,121.6
Week41,122.77
Week42,126.73
Week43,138.85
Week44,144.74
Week45,114.34
Week46,119.13
Week47,81.68
Week48,141.83
Week49,128.86
Week50,127.41
Week51,110.09
Week52,138.2
