,value
Week1,103.29
Week2,97.87
Week3,104.87
Week4,97.46
Week5,115.56
Week6,111.46
Week7,93.44
Week8,84.5
Week9,89.33
Week10,106.11
Week11,104.69
Week12,118.59
Week13,115.4
Week14,124.47
Week15,110.68
Week16,104.22
Week17,142.25
Week18,134.99
Week19,98.14
Week20,118.43
Week21,105.57
Week22,136.36
Week23,92.2
Week24,103.3
Week25,125.92
Week26,132.22
Week27,109.77
Week28,105.98
Week29,142.21
Week30,116.85
Week31,98.96
Week32,105.0
Week33,116.27
Week34,110.83
Week35,102.1
Week36,122.38
Week37,105.19
Week38,123.36
Week39,116.03
Week40,136.54
Week41,132.85
Week42,105.12
Week43,143.31
Week44,111.21
Week45,106.17
Week46,109.78
Week47,109.5
Week48,147.92
Week49,135.06
Week50,106.93
Week51,135.05
Week52,110.21
