,value
Week1,108.28
Week2,103.3
Week3,93.68
Week4,94.56
Week5,101.98
Week6,119.62
Week7,83.9
Week8,106.7
Week9,110.12
Week10,109.4
Week11,123.54
Week12,117.77
Week13,99.67
Week14,116.64
Week15,124.74
Week16,100.82
Week17,115.23
Week18,102.25
Week19,113.14
Week20,135.03
Week21,119.02
Week22,95.54
Week23,98.45
Week24,122.29
Week25,104.54
Week26,111.02
Week27,120.97
Week28,100.53
Week29,109.6
Week30,123.23
Week31,114.4
Week32,120.58
Week33,97.96
Week34,101.04
Week35,104.38
Week36,85.65
Week37,127.94
Week38,127.51
Week39,96.82
Week40,129.16
Week41,113.64
Week42,133.98
Week43,151.85
Week44,137.33
Week45,127.07
Week46,92.56
Week47,110.99
Week48,136.08
Week49,126.71
Week50,118.86
Week51,123.92
Week52,106.34
