,value
Week1,114.29
Week2,65.15
Week3,103.28
Week4,80.79
Week5,114.75
Week6,99.4
Week7,116.35
Week8,87.2
Week9,107.87
Week10,95.63
Week11,109.65
Week12,113.29
Week13,84.51
Week14,124.81
Week15,76.6
Week16,78.38
Week17,96.74
Week18,93.85
Week19,111.81
Week20,102.99
Week21,88.84
Week22,60.49
Week23,74.68
Week24,75.61
Week25,92.83
Week26,89.04
Week27,88.61
Week28,81.53
Week29,67.66
Week30,62.2
Week31,116.85
Week32,70.62
Week33,82.07
Week34,83.76
Week35,85.99
Week36,63.14
Week37,96.2
Week38,92.4
Week39,104.92
Week40,69.17
Week41,96.65
Week42,90.57
Week43,60.13
Week44,88.01
Week45,75.33
Week46,96.37
Week47,85.6
Week48,55.55
Week49,82.06
Week50,99.19
Week51,77.05
Week52,92.6
