,value
Week1,110.03
Week2,125.85
Week3,120.43
Week4,94.72
Week5,114.99
Week6,95.52
Week7,114.35
Week8,85.58
Week9,122.62
Week10,107.98
Week11,90.46
Week12,94.15
Week13,120.87
Week14,79.27
Week15,56.72
Week16,117.74
Week17,124.28
Week18,107.04
Week19,90.4
Week20,83.37
Week21,92.51
Week22,77.73
Week23,108.95
Week24,77.31
Week25,91.23
Week26,86.01
Week27,124.59
Week28,106.62
Week29,76.29
Week30,76.97
Week31,96.2
Week32,104.32
Week33,102.17
Week34,117.95
Week35,104.15
Week36,98.43
Week37,76.63
Week38,96.16
Week39,109.32
Week40,83.42
Week41,107.61
Week42,106.09
Week43,58.45
Week44,74.55
Week45,86.63
Week46,71.76
Week47,74.35
Week48,56.87
Week49,66.21
Week50,65.87
Week51,73.49
Week52,70.43
