,value
Week1,91.91
Week2,96.94
Week3,77.0
Week4,134.37
Week5,103.92
Week6,127.41
Week7,95.56
Week8,89.58
Week9,122.51
Week10,91.68
Week11,134.05
Week12,89.39
Week13,114.64
Week14,109.89
Week15,101.47
Week16,108.42
Week17,129.65
Week18,114.48
Week19,110.73
Week20,95.01
Week21,121.13
Week22,119.13
Week23,119.6
Week24,138.42
Week25,108.16
Week26,118.46
Week27,123.84
Week28,110.83
Week29,105.96
Week30,109.21
Week31,110.72
Week32,123.6
Week33,105.65
Week34,128.95
Week35,119.25
Week36,114.77
Week37,117.08
Week38,107.82
Week39,108.28
Week40,81.1
Week41,140.61
Week42,120.93
Week43,116.68
Week44,127.25
Week45,114.14
Week46,105.59
Week47,114.78
Week48,128.98
Week49,127.22
Week50,104.52
Week51,135.31
Week52,119.59
