,value
Week1,94.35
Week2,100.57
Week3,94.42
Week4,92.13
Week5,100.06
Week6,77.81
Week7,83.8
Week8,91.74
Week9,95.37
Week10,113.93
Week11,117.34
Week12,78.54
Week13,90.36
Week14,102.49
Week15,113.46
Week16,79.84
Week17,100.94
Week18,92.33
Week19,88.41
Week20,111.88
Week21,107.44
Week22,103.1
Week23,77.77
Week24,84.77
Week25,116.71
Week26,75.91
Week27,113.58
Week28,107.64
Week29,82.1
Week30,122.01
Week31,82.75
Week32,99.31
Week33,103.63
Week34,99.28
Week35,115.68
Week36,97.89
Week37,87.13
Week38,115.46
Week39,119.28
Week40,103.62
Week41,110.24
Week42,103.17
Week43,104.68
Week44,83.35
Week45,113.75
Week46,89.97
Week47,102.09
Week48,92.69
Week49,133.08
Week50,98.69
Week51,94.71
Week52,102.34
