,value
Week1,76.52
Week2,96.3
Week3,140.37
Week4,86.53
Week5,95.59
Week6,77.71
Week7,115.56
Week8,98.75
Week9,106.96
Week10,76.36
Week11,86.54
Week12,79.96
Week13,89.58
Week14,78.97
Week15,98.57
Week16,102.5
Week17,82.1
Week18,83.57
Week19,85.22
Week20,88.46
Week21,80.56
Week22,94.53
Week23,67.32
Week24,97.19
Week25,87.42
Week26,94.27
Week27,81.29
Week28,74.43
Week29,70.09
Week30,111.79
Week31,98.02
Week32,92.42
Week33,81.89
Week34,69.78
Week35,102.55
Week36,93.39
Week37,74.26
Week38,92.11
Week39,97.42
Week40,82.45
Week41,101.3
Week42,60.19
Week43,75.2
Week44,83.71
Week45,43.69
Week46,75.97
Week47,64.6
Week48,88.58
Week49,64.39
Week50,91.56
Week51,85.32
Week52,81.56
