,value
Week1,101.51
Week2,83.56
Week3,83.79
Week4,95.76
Week5,88.36
Week6,76.78
Week7,85.35
Week8,125.2
Week9,82.21
Week10,103.97
Week11,83.3
Week12,95.71
Week13,82.53
Week14,111.56
Week15,103.56
Week16,91.1
Week17,125.73
Week18,102.39
Week19,111.93
Week20,97.29
Week21,125.94
Week22,127.38
Week23,93.4
Week24,117.22
Week25,122.34
Week26,127.39
Week27,97.69
Week28,99.67
Week29,100.28
Week30,94.05
Week31,119.01
Week32,98.26
Week33,116.39
Week34,111.98
Week35,109.72
Week36,107.37
Week37,123.26
Week38,124.56
Week39,120.47
Week40,117.75
Week41,117.27
Week42,150.98
Week43,142.88
Week44,140.96
Week45,153.2
Week46,127.08
Week47,117.9
Week48,112.09
Week49,117.88
Week50,127.18
Week51,123.74
Week52,102.24
