,value
Week1,117.45
Week2,66.82
Week3,84.2
Week4,101.24
Week5,116.69
Week6,82.17
Week7,106.38
Week8,99.75
Week9,102.85
Week10,118.01
Week11,106.04
Week12,110.4
Week13,77.09
Week14,101.02
Week15,108.27
Week16,105.4
Week17,89.32
Week18,89.79
Week19,93.18
Week20,100.92
Week21,138.96
Week22,98.46
Week23,76.71
Week24,103.61
Week25,128.18
Week26,110.0
Week27,100.9
Week28,117.99
Week29,115.63
Week30,91.24
Week31,143.2
Week32,130.92
Week33,108.55
Week34,115.0
Week35,126.55
Week36,90.0
Week37,126.79
Week38,93.23
Week39,89.89
Week40,134.78
Week41,111.3
Week42,117.58
Week43,131.91
Week44,131.76
Week45,106.61
Week46,133.45
Week47,101.3
Week48,105.5
Week49,122.98
Week50,104.2
Week51,107.05
Week52,108.35
