,value
Week1,112.11
Week2,123.39
Week3,77.75
Week4,120.7
Week5,84.36
Week6,110.64
Week7,101.14
Week8,95.11
Week9,90.38
Week10,103.07
Week11,68.12
Week12,83.94
Week13,85.94
Week14,106.86
Week15,93.66
Week16,75.64
Week17,89.23
Week18,91.9
Week19,107.32
Week20,80.05
Week21,82.6
Week22,98.83
Week23,88.57
Week24,86.66
Week25,86.04
Week26,94.9
Week27,93.16
Week28,81.67
Week29,109.2
Week30,54.25
Week31,98.43
Week32,98.87
Week33,97.01
Week34,66.16
Week35,106.76
Week36,107.98
Week37,74.39
Week38,66.49
Week39,71.27
Week40,71.39
Week41,79.5
Week42,73.16
Week43,83.2
Week44,89.77
Week45,86.56
Week46,84.08
Week47,59.75
Week48,103.64
Week49,52.72
Week50,69.62
Week51,79.92
Week52,90.64
