,value
Week1,99.82
Week2,104.09
Week3,125.24
Week4,92.18
Week5,101.14
Week6,98.36
Week7,104.05
Week8,94.02
Week9,105.26
Week10,84.04
Week11,97.17
Week12,110.45
Week13,99.32
Week14,140.0
Week15,72.32
Week16,113.08
Week17,71.6
Week18,76.87
Week19,96.95
Week20,81.59
Week21,98.94
Week22,88.07
Week23,72.67
Week24,106.85
Week25,97.58
Week26,103.18
Week27,116.12
Week28,101.85
Week29,106.23
Week30,71.01
Week31,97.24
Week32,71.03
Week33,83.13
Week34,93.1
Week35,87.17
Week36,79.71
Week37,109.72
Week38,111.22
Week39,70.91
Week40,95.28
Week41,84.63
Week42,89.03
Week43,67.92
Week44,93.16
Week45,106.82
Week46,94.44
Week47,75.41
Week48,66.54
Week49,82.93
Week50,104.17
Week51,89.99
Week52,71.03
