,value
Week1,105.09
Week2,123.15
Week3,127.13
Week4,121.51
Week5,80.8
Week6,129.46
Week7,96.22
Week8,80.98
Week9,115.82
Week10,77.59
Week11,97.73
Week12,138.43
Week13,113.38
Week14,87.87
Week15,120.36
Week16,114.15
Week17,124.09
Week18,109.09
Week19,120.58
Week20,113.76
Week21,105.51
Week22,104.43
Week23,74.26
Week24,115.87
Week25,107.49
Week26,103.14
Week27,97.3
Week28,88.94
Week29,134.02
Week30,117.19
Week31,119.85
Week32,106.24
Week33,136.5
Week34,93.57
Week35,119.26
Week36,115.94
Week37,107.77
Week38,144.65
Week39,117.82
Week40,140.42
Week41,122.4
Week42,128.33
Week43,112.98
Week44,98.75
Week45,133.97
Week46,106.67
Week47,109.95
Week48,133.98
Week49,114.68
Week50,103.0
Week51,144.62
Week52,123.41
