,value
Week1,106.68
Week2,127.21
Week3,110.51
Week4,92.42
Week5,122.13
Week6,99.85
Week7,73.44
Week8,96.08
Week9,106.33
Week10,105.69
Week11,79.81
Week12,89.77
Week13,80.42
Week14,90.84
Week15,71.14
Week16,117.2
Week17,92.11
Week18,110.23
Week19,70.81
Week20,102.21
Week21,125.21
Week22,97.92
Week23,88.54
Week24,107.69
Week25,90.77
Week26,65.0
Week27,86.83
Week28,97.94
Week29,75.7
Week30,115.95
Week31,67.68
Week32,114.16
Week33,48.37
Week34,92.53
Week35,59.29
Week36,71.36
Week37,73.81
Week38,82.52
Week39,97.67
Week40,64.94
Week41,81.09
Week42,84.88
Week43,74.01
Week44,92.87
Week45,73.91
Week46,98.96
Week47,80.08
Week48,86.1
Week49,49.6
Week50,92.21
Week51,90.18
Week52,74.45
