,value
Week1,97.37
Week2,102.05
Week3,140.68
Week4,99.46
Week5,99.08
Week6,79.32
Week7,111.75
Week8,107.93
Week9,87.17
Week10,117.0
Week11,87.3
Week12,107.67
Week13,95.53
Week14,111.78
Week15,115.29
Week16,92.14
Week17,103.16
Week18,104.69
Week19,93.09
Week20,104.35
Week21,115.25
Week22,87.26
Week23,124.64
Week24,114.63
Week25,113.79
Week26,99.35
Week27,103.43
Week28,112.97
Week29,88.56
Week30,110.67
Week31,117.38
Week32,106.29
Week33,121.69
Week34,115.3
Week35,119.09
Week36,102.04
Week37,126.71
Week38,136.13
Week39,92.69
Week40,80.21
Week41,121.6
Week42,118.25
Week43,126.32
Week44,133.77
Week45,114.53
Week46,104.79
Week47,125.83
Week48,114.5
Week49,147.3
Week50,107.42
Week51,99.08
Week52,127.0
