,value
Week1,85.24
Week2,93.58
Week3,93.64
Week4,109.04
Week5,119.65
Week6,93.64
Week7,104.94
Week8,81.45
Week9,80.34
Week10,89.51
Week11,109.09
Week12,102.56
Week13,95.69
Week14,85.54
Week15,116.93
Week16,104.87
Week17,84.61
Week18,99.38
Week19,122.67
Week20,82.76
Week21,120.43
Week22,127.98
Week23,99.27
Week24,121.51
Week25,115.11
Week26,114.7
Week27,103.09
Week28,108.09
Week29,118.74
Week30,112.23
Week31,88.89
Week32,123.05
Week33,99.25
Week34,97.2
Week35,138.94
Week36,93.09
Week37,130.89
Week38,140.22
Week39,143.08
Week40,112.02
Week41,121.56
Week42,117.55
Week43,130.38
Week44,114.47
Week45,91.91
Week46,113.57
Week47,123.24
Week48,115.57
Week49,143.84
Week50,112.51
Week51,111.24
Week52,147.57
