,value
Week1,89.7
Week2,92.97
Week3,90.55
Week4,89.21
Week5,110.66
Week6,87.36
Week7,96.27
Week8,111.36
Week9,103.52
Week10,91.96
Week11,105.91
Week12,126.31
Week13,107.42
Week14,84.4
Week15,91.82
Week16,86.9
Week17,122.28
Week18,82.4
Week19,95.2
Week20,155.99
Week21,106.2
Week22,107.15
Week23,120.96
Week24,110.19
Week25,133.35
Week26,121.07
Week27,126.25
Week28,96.87
Week29,128.31
Week30,75.04
Week31,130.97
Week32,141.35
Week33,106.0
Week34,96.26
Week35,106.92
Week36,128.1
Week37,112.75
Week38,129.94
Week39,121.91
Week40,93.8
Week41,84.81
Week42,105.96
Week43,135.85
Week44,123.22
Week45,106.43
Week46,83.35
Week47,108.96
Week48,116.78
Week49,107.3
Week50,106.82
Week51,121.64
Week52,102.32
