,value
Week1,103.04
Week2,94.05
Week3,79.94
Week4,92.05
Week5,116.41
Week6,116.13
Week7,138.91
Week8,99.57
Week9,81.85
Week10,123.03
Week11,109.97
Week12,135.41
Week13,86.5
Week14,86.46
Week15,79.52
Week16,99.39
Week17,115.9
Week18,69.21
Week19,96.27
Week20,60.66
Week21,104.92
Week22,81.03
Week23,67.53
Week24,87.17
Week25,97.3
Week26,63.94
Week27,78.46
Week28,67.5
Week29,69.31
Week30,104.86
Week31,68.98
Week32,84.09
Week33,67.82
Week34,86.3
Week35,96.44
Week36,83.2
Week37,65.94
Week38,80.46
Week39,72.85
Week40,86.51
Week41,90.39
Week42,58.09
Week43,66.02
Week44,64.55
Week45,100.84
Week46,100.7
Week47,86.06
Week48,77.11
Week49,67.2
Week50,79.1
Week51,87.86
Week52,78.2
