,value
Week1,73.02
Week2,90.38
Week3,134.65
Week4,86.51
Week5,78.34
Week6,111.38
Week7,90.85
Week8,96.62
Week9,94.2
Week10,107.43
Week11,84.55
Week12,91.53
Week13,91.91
Week14,90.79
Week15,118.63
Week16,87.23
Week17,86.21
Week18,113.54
Week19,103.08
Week20,116.62
Week21,102.27
Week22,131.58
Week23,77.73
Week24,75.31
Week25,60.64
Week26,75.46
Week27,81.41
Week28,91.9
Week29,100.45
Week30,102.9
Week31,113.14
Week32,95.9
Week33,77.6
Week34,82.62
Week35,74.24
Week36,85.69
Week37,72.14
Week38,87.52
Week39,86.82
Week40,64.44
Week41,71.9
Week42,86.16
Week43,115.73
Week44,83.72
Week45,79.12
Week46,79.41
Week47,63.44
Week48,77.47
Week49,84.08
Week50,83.08
Week51,83.72
Week52,84.74
