,value
Week1,91.34
Week2,80.87
Week3,112.43
Week4,99.31
Week5,104.37
Week6,103.78
Week7,87.7
Week8,113.6
Week9,112.44
Week10,110.19
Week11,99.33
Week12,113.43
Week13,91.2
Week14,76.98
Week15,93.59
Week16,112.65
Week17,106.77
Week18,84.36
Week19,75.22
Week20,113.95
Week21,96.41
Week22,97.8
Week23,112.66
Week24,88.08
Week25,88.12
Week26,69.12
Week27,81.57
Week28,80.36
Week29,72.66
Week30,94.63
Week31,81.59
Week32,106.2
Week33,72.9
Week34,97.35
Week35,84.04
Week36,85.48
Week37,105.7
Week38,72.78
Week39,89.21
Week40,78.1
Week41,80.78
Week42,102.95
Week43,72.36
Week44,95.18
Week45,58.25
Week46,78.14
Week47,81.75
Week48,81.43
Week49,68.71
Week50,75.15
Week51,80.48
Week52,71.5
