,value
Week1,84.95
Week2,66.87
Week3,61.62
Week4,126.36
Week5,100.89
Week6,88.95
Week7,120.87
Week8,116.67
Week9,85.21
Week10,116.76
Week11,108.89
Week12,100.17
Week13,113.19
Week14,111.61
Week15,110.31
Week16,124.87
Week17,118.65
Week18,88.61
Week19,96.3
Week20,87.76
Week21,113.95
Week22,111.89
Week23,122.97
Week24,99.21
Week25,96.66
Week26,119.49
Week27,105.16
Week28,90.53
Week29,90.97
Week30,133.31
Week31,114.09
Week32,117.21
Week33,97.7
Week34,106.11
Week35,140.19
Week36,112.49
Week37,112.62
Week38,93.61
Week39,98.16
Week40,108.7
Week41,110.62
Week42,96.9
Week43,131.36
Week44,86.22
Week45,141.11
Week46,106.55
Week47,142.62
Week48,119.34
Week49,140.42
Week50,118.04
Week51,115.83
Week52,126.48
