,value
Week1,94.59
Week2,117.08
Week3,96.54
Week4,134.29
Week5,121.49
Week6,100.75
Week7,102.41
Week8,82.89
Week9,87.54
Week10,96.58
Week11,82.99
Week12,105.62
Week13,109.36
Week14,84.25
Week15,81.02
Week16,84.75
Week17,80.01
Week18,97.46
Week19,84.99
Week20,87.34
Week21,96.44
Week22,122.01
Week23,96.75
Week24,123.56
Week25,95.79
Week26,105.34
Week27,87.23
Week28,73.54
Week29,68.0
Week30,70.23
Week31,67.21
Week32,76.82
Week33,97.08
Week34,89.66
Week35,92.43
Week36,104.16
Week37,102.76
Week38,76.72
Week39,100.92
Week40,109.02
Week41,86.68
Week42,78.27
Week43,80.06
Week44,78.68
Week45,104.18
Week46,84.14
Week47,109.17
Week48,81.24
Week49,85.94
Week50,84.09
Week51,89.38
Week52,91.76
