,value
Week1,72.14
Week2,96.6
Week3,103.34
Week4,103.29
Week5,95.1
Week6,85.28
Week7,102.06
Week8,128.76
Week9,95.02
Week10,99.19
Week11,97.06
Week12,104.76
Week13,118.74
Week14,117.26
Week15,91.53
Week16,107.48
Week17,120.88
Week18,93.91
Week19,108.11
Week20,93.91
Week21,100.53
Week22,111.27
Week23,99.85
Week24,109.6
Week25,90.08
Week26,96.38
Week27,135.12
Week28,100.07
Week29,111.11
Week30,104.82
Week31,131.1
Week32,134.99
Week33,107.16
Week34,106.72
Week35,113.02
Week36,112.14
Week37,93.9
Week38,119.61
Week39,135.37
Week40,118.88
Week41,105.2
Week42,135.01
Week43,124.24
Week44,84.17
Week45,128.3
Week46,129.39
Week47,91.82
Week48,118.78
Week49,113.52
Week50,108.42
Week51,105.67
Week52,125.1
