,value
Week1,97.41
Week2,102.59
Week3,126.3
Week4,107.4
Week5,93.79
Week6,94.73
Week7,94.25
Week8,72.95
Week9,120.0
Week10,107.75
Week11,93.77
Week12,117.82
Week13,96.58
Week14,105.65
Week15,90.23
Week16,101.08
Week17,118.65
Week18,100.32
Week19,91.45
Week20,108.47
Week21,99.87
Week22,100.14
Week23,118.94
Week24,108.55
Week25,93.47
Week26,61.66
Week27,94.25
Week28,106.49
Week29,107.4
Week30,118.55
Week31,127.78
Week32,102.89
Week33,106.23
Week34,115.72
Week35,117.43
Week36,117.68
Week37,107.96
Week38,114.91
Week39,130.56
Week40,117.47
Week41,119.04
Week42,100.57
Week43,118.06
Week44,122.39
Week45,124.75
Week46,134.73
Week47,112.83
Week48,128.06
Week49,136.69
Week50,122.21
Week51,126.87
Week52,127.69
