,value
Week1,95.28
Week2,117.22
Week3,114.06
Week4,99.96
Week5,120.97
Week6,110.84
Week7,73.56
Week8,110.4
Week9,86.53
Week10,93.46
Week11,117.06
Week12,99.66
Week13,100.07
Week14,90.16
Week15,91.03
Week16,89.04
Week17,122.37
Week18,110.95
Week19,95.09
Week20,133.44
Week21,148.87
Week22,109.33
Week23,95.79
Week24,129.79
Week25,100.17
Week26,113.75
Week27,88.74
Week28,111.89
Week29,80.2
Week30,134.92
Week31,101.68
Week32,79.81
Week33,120.87
Week34,130.46
Week35,103.87
Week36,104.17
Week37,99.77
Week38,105.29
Week39,111.3
Week40,122.16
Week41,119.53
Week42,110.38
Week43,112.65
Week44,135.73
Week45,110.13
Week46,100.4
Week47,116.46
Week48,140.28
Week49,113.82
Week50,122.73
Week51,144.56
Week52,128.59
