,value
Week1,67.17
Week2,107.39
Week3,95.36
Week4,99.56
Week5,110.36
Week6,62.84
Week7,118.71
Week8,110.6
Week9,113.54
Week10,109.16
Week11,88.95
Week12,98.68
Week13,107.15
Week14,80.44
Week15,98.59
Week16,78.6
Week17,62.88
Week18,99.03
Week19,127.68
Week20,95.26
Week21,67.43
Week22,99.5
Week23,83.73
Week24,81.81
Week25,111.15
Week26,78.79
Week27,88.41
Week28,72.75
Week29,91.38
Week30,84.64
Week31,98.59
Week32,61.87
Week33,80.0
Week34,107.01
Week35,87.06
Week36,91.59
Week37,98.77
Week38,113.32
Week39,83.09
Week40,80.06
Week41,71.8
Week42,53.84
Week43,96.53
Week44,87.04
Week45,72.61
Week46,62.77
Week47,76.18
Week48,82.47
Week49,82.39
Week50,74.71
Week51,92.72
Week52,55.68
