,value
Week1,108.12
Week2,121.3
Week3,95.04
Week4,115.75
Week5,118.01
Week6,71.67
Week7,91.37
Week8,102.11
Week9,120.31
Week10,89.9
Week11,100.13
Week12,109.61
Week13,83.29
Week14,124.84
Week15,83.47
Week16,113.87
Week17,92.3
Week18,111.88
Week19,101.48
Week20,105.21
Week21,108.73
Week22,129.8
Week23,127.98
Week24,104.06
Week25,128.31
Week26,131.18
Week27,95.42
Week28,115.41
Week29,117.44
Week30,98.87
Week31,88.91
Week32,130.12
Week33,121.79
Week34,107.36
Week35,120.11
Week36,102.19
Week37,101.17
Week38,124.2
Week39,110.05
Week40,115.12
Week41,132.81
Week42,115.37
Week43,152.89
Week44,116.75
Week45,93.33
Week46,133.1
Week47,131.72
Week48,129.71
Week49,83.56
Week50,131.51
Week51,112.18
Week52,132.56
