,value
Week1,94.37
Week2,98.86
Week3,98.45
Week4,74.71
Week5,82.17
Week6,107.42
Week7,91.69
Week8,93.74
Week9,78.01
Week10,92.34
Week11,124.3
Week12,105.35
Week13,95.18
Week14,97.14
Week15,112.54
Week16,103.91
Week17,111.74
Week18,72.19
Week19,92.84
Week20,83.08
Week21,75.43
Week22,94.85
Week23,86.25
Week24,90.51
Week25,94.6
Week26,84.45
Week27,111.9
Week28,107.43
Week29,93.07
Week30,95.46
Week31,85.19
Week32,82.71
Week33,88.3
Week34,87.29
Week35,73.75
Week36,68.43
Week37,86.4
Week38,97.39
Week39,104.72
Week40,99.22
Week41,83.48
Week42,76.66
Week43,87.42
Week44,76.96
Week45,81.88
Week46,102.0
Week47,59.53
Week48,95.67
Week49,86.01
Week50,68.3
Week51,91.68
Week52,68.61
