,value
Week1,77.46
Week2,110.57
Week3,118.9
Week4,89.31
Week5,119.98
Week6,117.99
Week7,93.48
Week8,104.04
Week9,100.49
Week10,110.31
Week11,109.34
Week12,102.12
Week13,85.71
Week14,117.28
Week15,58.07
Week16,109.08
Week17,85.61
Week18,87.94
Week19,108.2
Week20,84.41
Week21,92.99
Week22,112.15
Week23,93.16
Week24,92.26
Week25,79.69
Week26,78.93
Week27,69.24
Week28,107.75
Week29,82.09
Week30,103.4
Week31,82.67
Week32,96.05
Week33,71.55
Week34,97.34
Week35,93.41
Week36,113.84
Week37,90.4
Week38,91.74
Week39,87.66
Week40,82.59
Week41,100.05
Week42,61.27
Week43,97.63
Week44,63.33
Week45,96.0
Week46,72.64
Week47,54.65
Week48,77.99
Week49,91.27
Week50,90.71
Week51,82.75
Week52,90.26
