,value
Week1,99.54
Week2,85.42
Week3,102.96
Week4,100.43
Week5,83.27
Week6,84.3
Week7,71.13
Week8,115.1
Week9,74.78
Week10,83.57
Week11,114.8
Week12,104.35
Week13,88.43
Week14,102.39
Week15,96.67
Week16,80.43
Week17,92.24
Week18,102.16
Week19,105.28
Week20,105.2
Week21,79.08
Week22,108.21
Week23,99.45
Week24,97.81
Week25,143.18
Week26,83.88
Week27,89.15
Week28,95.46
Week29,81.08
Week30,84.11
Week31,98.09
Week32,115.21
Week33,83.72
Week34,81.14
Week35,91.79
Week36,74.82
Week37,86.31
Week38,83.81
Week39,101.91
Week40,92.15
Week41,95.18
Week42,66.95
Week43,89.66
Week44,72.83
Week45,79.87
Week46,92.73
Week47,82.22
Week48,93.74
Week49,74.12
Week50,69.58
Week51,78.5
Week52,84.65
