,value
Week1,94.86
Week2,104.56
Week3,96.17
Week4,100.4
Week5,104.29
Week6,108.9
Week7,104.36
Week8,116.84
Week9,87.96
Week10,107.53
Week11,105.14
Week12,80.75
Week13,106.24
Week14,82.13
Week15,114.88
Week16,90.76
Week17,105.94
Week18,128.82
Week19,89.92
Week20,106.08
Week21,132.24
Week22,101.78
Week23,106.71
Week24,110.15
Week25,118.03
Week26,100.25
Week27,128.95
Week28,94.84
Week29,104.68
Week30,101.9
Week31,81.61
Week32,111.86
Week33,94.01
Week34,102.55
Week35,114.97
Week36,121.03
Week37,126.63
Week38,127.93
Week39,90.6
Week40,92.25
Week41,125.81
Week42,123.99
Week43,120.15
Week44,134.14
Week45,104.02
Week46,120.77
Week47,120.87
Week48,122.76
Week49,111.0
Week50,121.76
Week51,115.02
Week52,136.79
