,value
Week1,105.64
Week2,112.22
Week3,100.44
Week4,83.07
Week5,90.85
Week6,90.67
Week7,119.25
Week8,123.48
Week9,107.81
Week10,123.48
Week11,99.73
Week12,121.87
Week13,100.77
Week14,94.0
Week15,118.75
Week16,103.8
Week17,123.49
Week18,71.33
Week19,85.67
Week20,70.33
Week21,96.17
Week22,97.78
Week23,87.13
Week24,86.55
Week25,66.03
Week26,120.36
Week27,95.75
Week28,83.87
Week29,97.77
Week30,79.64
Week31,71.03
Week32,82.42
Week33,91.56
Week34,91.95
Week35,65.74
Week36,85.94
Week37,101.28
Week38,101.25
Week39,89.4
Week40,87.6
Week41,82.71
Week42,64.83
Week43,90.24
Week44,96.15
Week45,88.62
Week46,86.8
Week47,94.28
Week48,113.0
Week49,78.88
Week50,90.4
Week51,63.48
Week52,72.16
