,value
Week1,106.31
Week2,89.23
Week3,80.62
Week4,124.99
Week5,83.77
Week6,97.73
Week7,113.43
Week8,127.41
Week9,109.24
Week10,97.04
Week11,129.86
Week12,100.89
Week13,105.54
Week14,83.7
Week15,78.29
Week16,92.24
Week17,121.3
Week18,99.54
Week19,81.87
Week20,121.13
Week21,108.74
Week22,128.21
Week23,102.49
Week24,122.42
Week25,130.8
Week26,128.57
Week27,122.3
Week28,90.96
Week29,122.94
Week30,130.32
Week31,100.22
Week32,103.98
Week33,112.43
Week34,109.26
Week35,113.37
Week36,120.42
Week37,88.63
Week38,129.86
Week39,133.8
Week40,92.84
Week41,112.63
Week42,130.43
Week43,112.37
Week44,131.02
Week45,111.37
Week46,127.42
Week47,150.9
Week48,127.9
Week49,143.8
Week50,127.88
Week51,146.47
Week52,146.97
