,value
Week1,99.63
Week2,92.15
Week3,128.1
Week4,114.41
Week5,84.07
Week6,93.02
Week7,113.4
Week8,89.59
Week9,78.07
Week10,110.44
Week11,110.55
Week12,107.76
Week13,130.54
Week14,115.15
Week15,119.91
Week16,116.58
Week17,106.53
Week18,107.28
Week19,124.75
Week20,99.28
Week21,107.68
Week22,109.38
Week23,121.97
Week24,59.39
Week25,98.85
Week26,74.75
Week27,98.2
Week28,97.16
Week29,99.58
Week30,116.39
Week31,119.43
Week32,124.99
Week33,108.14
Week34,112.27
Week35,109.19
Week36,113.52
Week37,125.65
Week38,117.77
Week39,118.84
Week40,113.98
Week41,100.39
Week42,134.23
Week43,98.82
Week44,98.99
Week45,122.81
Week46,93.7
Week47,119.04
Week48,134.1
Week49,116.76
Week50,115.56
Week51,114.69
Week52,134.25
