,value
Week1,97.39
Week2,75.7
Week3,115.7
Week4,114.58
Week5,110.33
Week6,71.24
Week7,104.64
Week8,103.83
Week9,116.5
Week10,95.07
Week11,114.04
Week12,123.9
Week13,109.25
Week14,87.58
Week15,125.63
Week16,100.97
Week17,110.72
Week18,94.75
Week19,104.99
Week20,101.68
Week21,102.51
Week22,90.31
Week23,118.13
Week24,127.32
Week25,89.14
Week26,108.54
Week27,81.55
Week28,116.11
Week29,131.3
Week30,100.75
Week31,103.59
Week32,119.31
Week33,130.9
Week34,92.26
Week35,93.69
Week36,123.57
Week37,117.22
Week38,136.44
Week39,88.36
Week40,122.55
Week41,116.02
Week42,109.55
Week43,124.99
Week44,106.34
Week45,107.65
Week46,130.97
Week47,103.05
Week48,141.41
Week49,87.61
Week50,111.15
Week51,116.4
Week52,116.76
