,value
Week1,93.36
Week2,111.35
Week3,77.87
Week4,106.16
Week5,90.6
Week6,110.21
Week7,88.77
Week8,94.94
Week9,96.51
Week10,104.58
Week11,107.47
Week12,88.5
Week13,103.31
Week14,116.72
Week15,93.55
Week16,82.7
Week17,74.76
Week18,85.33
Week19,90.84
Week20,79.26
Week21,88.39
Week22,104.74
Week23,62.63
Week24,100.53
Week25,105.62
Week26,98.2
Week27,76.58
Week28,117.65
Week29,100.68
Week30,99.97
Week31,104.02
Week32,102.23
Week33,107.85
Week34,96.87
Week35,77.88
Week36,99.2
Week37,96.5
Week38,81.55
Week39,97.22
Week40,94.56
Week41,77.23
Week42,100.89
Week43,77.42
Week44,69.9
Week45,90.04
Week46,95.33
Week47,88.57
Week48,75.81
Week49,86.02
Week50,70.61
Week51,68.36
Week52,57.66
