,value
Week1,92.7
Week2,104.96
Week3,78.83
Week4,117.39
Week5,84.54
Week6,92.22
Week7,92.32
Week8,100.65
Week9,82.93
Week10,105.9
Week11,111.63
Week12,101.34
Week13,77.79
Week14,89.82
Week15,101.45
Week16,76.33
Week17,102.48
Week18,109.12
Week19,94.15
Week20,89.69
Week21,66.4
Week22,82.56
Week23,81.64
Week24,68.85
Week25,96.81
Week26,87.74
Week27,90.11
Week28,89.61
Week29,90.73
Week30,92.81
Week31,105.31
Week32,66.73
Week33,91.43
Week34,78.62
Week35,99.69
Week36,85.37
Week37,47.3
Week38,54.99
Week39,101.58
Week40,80.39
Week41,79.88
Week42,88.39
Week43,65.67
Week44,97.88
Week45,87.81
Week46,86.23
Week47,70.32
Week48,103.23
Week49,103.18
Week50,103.07
Week51,86.52
Week52,76.06
