,value
Week1,88.44
Week2,101.12
Week3,106.07
Week4,88.33
Week5,100.1
Week6,91.75
Week7,102.31
Week8,88.8
Week9,98.35
Week10,110.8
Week11,107.89
Week12,99.78
Week13,111.66
Week14,96.76
Week15,64.41
Week16,81.23
Week17,83.65
Week18,107.09
Week19,108.04
Week20,92.5
Week21,86.29
Week22,112.69
Week23,86.71
Week24,99.52
Week25,71.76
Week26,106.35
Week27,84.98
Week28,58.06
Week29,116.35
Week30,100.27
Week31,66.07
Week32,95.61
Week33,106.57
Week34,88.87
Week35,94.98
Week36,82.08
Week37,96.93
Week38,104.18
Week39,93.3
Week40,70.08
Week41,102.29
Week42,105.64
Week43,65.09
Week44,78.92
Week45,64.42
Week46,83.82
Week47,108.87
Week48,77.19
Week49,76.19
Week50,72.31
Week51,95.03
Week52,62.82
