,value
Week1,82.69
Week2,94.07
Week3,103.87
Week4,99.93
Week5,79.16
Week6,78.33
Week7,97.83
Week8,118.98
Week9,85.77
Week10,118.34
Week11,108.23
Week12,109.5
Week13,110.66
Week14,96.17
Week15,67.47
Week16,108.84
Week17,78.51
Week18,115.03
Week19,90.96
Week20,100.08
Week21,110.06
Week22,112.75
Week23,78.1
Week24,98.61
Week25,100.27
Week26,85.48
Week27,93.69
Week28,70.83
Week29,96.68
Week30,104.65
Week31,76.04
Week32,117.58
Week33,103.95
Week34,75.31
Week35,61.06
Week36,58.06
Week37,84.93
Week38,82.85
Week39,68.31
Week40,52.69
Week41,77.38
Week42,97.17
Week43,91.2
Week44,91.0
Week45,101.04
Week46,106.65
Week47,72.1
Week48,85.39
Week49,79.76
Week50,107.17
Week51,85.69
Week52,76.38
