,value
Week1,96.01
Week2,96.25
Week3,98.77
Week4,103.58
Week5,87.15
Week6,119.38
Week7,114.4
Week8,90.45
Week9,100.82
Week10,89.3
Week11,75.59
Week12,77.92
Week13,101.46
Week14,105.72
Week15,70.81
Week16,95.49
Week17,89.73
Week18,104.5
Week19,97.37
Week20,82.07
Week21,96.97
Week22,94.07
Week23,109.93
Week24,108.6
Week25,86.18
Week26,89.07
Week27,72.77
Week28,106.08
Week29,100.86
Week30,91.13
Week31,69.6
Week32,87.65
Week33,57.6
Week34,100.15
Week35,81.17
Week36,80.67
Week37,100.49
Week38,94.76
Week39,86.85
Week40,87.73
Week41,116.12
Week42,99.45
Week43,70.57
Week44,79.63
Week45,65.35
Week46,65.33
Week47,81.98
Week48,94.53
Week49,101.94
Week50,81.36
Week51,98.37
Week52,75.8
