,value
Week1,108.87
Week2,105.37
Week3,104.51
Week4,97.06
Week5,103.56
Week6,104.73
Week7,132.11
Week8,103.15
Week9,102.5
Week10,78.38
Week11,98.93
Week12,90.31
Week13,86.66
Week14,87.86
Week15,122.65
Week16,92.1
Week17,90.45
Week18,104.93
Week19,117.19
Week20,111.72
Week21,85.81
Week22,90.05
Week23,109.21
Week24,93.05
Week25,94.31
Week26,91.19
Week27,108.91
Week28,130.5
Week29,99.57
Week30,62.16
Week31,125.61
Week32,110.47
Week33,121.93
Week34,72.19
Week35,85.2
Week36,112.56
Week37,109.28
Week38,101.62
Week39,78.81
Week40,106.19
Week41,109.08
Week42,78.9
Week43,89.55
Week44,86.6
Week45,101.25
Week46,81.42
Week47,72.46
Week48,95.4
Week49,93.14
Week50,87.75
Week51,76.16
Week52,102.47
