,value
Week1,97.35
Week2,105.22
Week3,102.73
Week4,110.33
Week5,89.85
Week6,102.78
Week7,99.57
Week8,111.35
Week9,117.21
Week10,71.23
Week11,104.79
Week12,86.08
Week13,110.53
Week14,109.32
Week15,114.29
Week16,112.96
Week17,102.16
Week18,86.75
Week19,98.78
Week20,102.87
Week21,130.2
Week22,98.34
Week23,109.65
Week24,82.19
Week25,93.21
Week26,112.5
Week27,91.34
Week28,136.52
Week29,104.84
Week30,90.07
Week31,90.85
Week32,121.06
Week33,124.92
Week34,103.89
Week35,98.85
Week36,114.1
Week37,109.96
Week38,117.6
Week39,111.15
Week40,102.56
Week41,97.32
Week42,128.13
Week43,97.01
Week44,129.57
Week45,99.03
Week46,123.66
Week47,108.76
Week48,121.38
Week49,102.47
Week50,106.05
Week51,83.52
Week52,124.77
