,value
Week1,82.61
Week2,88.5
Week3,111.37
Week4,96.19
Week5,88.74
Week6,94.34
Week7,97.33
Week8,96.73
Week9,84.6
Week10,100.29
Week11,107.64
Week12,102.01
Week13,107.14
Week14,113.59
Week15,99.94
Week16,67.85
Week17,84.49
Week18,97.63
Week19,75.88
Week20,116.35
Week21,105.4
Week22,95.45
Week23,92.17
Week24,108.69
Week25,95.87
Week26,107.43
Week27,107.3
Week28,95.48
Week29,105.45
Week30,88.12
Week31,96.15
Week32,99.33
Week33,70.61
Week34,72.53
Week35,76.69
Week36,98.92
Week37,89.42
Week38,91.47
Week39,71.32
Week40,104.79
Week41,90.17
Week42,100.62
Week43,99.58
Week44,72.3
Week45,78.24
Week46,75.36
Week47,98.91
Week48,88.37
Week49,51.73
Week50,85.48
Week51,76.2
Week52,95.38
