,value
Week1,113.25
Week2,83.73
Week3,108.04
Week4,84.69
Week5,90.91
Week6,92.02
Week7,78.66
Week8,79.16
Week9,83.03
Week10,96.31
Week11,113.35
Week12,114.22
Week13,60.08
Week14,120.65
Week15,87.68
Week16,106.58
Week17,98.55
Week18,114.8
Week19,101.05
Week20,130.41
Week21,78.37
Week22,108.48
Week23,95.46
Week24,85.2
Week25,87.44
Week26,62.1
Week27,86.15
Week28,100.32
Week29,87.87
Week30,77.99
Week31,86.79
Week32,84.71
Week33,93.37
Week34,103.18
Week35,93.52
Week36,112.69
Week37,93.01
Week38,72.75
Week39,94.79
Week40,62.85
Week41,91.95
Week42,81.99
Week43,78.18
Week44,81.45
Week45,60.17
Week46,77.21
Week47,91.44
Week48,84.26
Week49,81.71
Week50,95.61
Week51,66.99
Week52,106.84
