,value
Week1,113.25
Week2,114.29
Week3,89.46
Week4,117.16
Week5,116.74
Week6,100.49
Week7,91.74
Week8,65.58
Week9,109.69
Week10,82.14
Week11,110.29
Week12,111.24
Week13,96.23
Week14,102.71
Week15,105.68
Week16,111.08
Week17,94.83
Week18,104.27
Week19,130.36
Week20,88.65
Week21,99.92
Week22,110.68
Week23,97.44
Week24,90.15
Week25,91.23
Week26,80.84
Week27,113.2
Week28,80.86
Week29,95.56
Week30,109.27
Week31,74.6
Week32,85.71
Week33,98.79
Week34,109.66
Week35,83.64
Week36,90.18
Week37,86.35
Week38,96.14
Week39,96.73
Week40,74.14
Week41,84.76
Week42,89.2
Week43,71.58
Week44,83.59
Week45,83.72
Week46,91.22
Week47,54.7
Week48,76.61
Week49,101.27
Week50,103.56
Week51,88.32
Week52,80.0
