,value
Week1,86.15
Week2,90.39
Week3,128.75
Week4,78.12
Week5,114.85
Week6,100.91
Week7,73.81
Week8,87.57
Week9,100.24
Week10,106.31
Week11,92.72
Week12,95.34
Week13,65.88
Week14,101.98
Week15,105.88
Week16,89.4
Week17,107.28
Week18,105.37
Week19,83.13
Week20,115.04
Week21,104.24
Week22,96.13
Week23,113.48
Week24,130.52
Week25,102.22
Week26,103.13
Week27,101.22
Week28,110.91
Week29,109.85
Week30,68.63
Week31,103.21
Week32,111.75
Week33,100.29
Week34,62.65
Week35,105.65
Week36,126.04
Week37,105.89
Week38,119.48
Week39,119.3
Week40,108.1
Week41,117.08
Week42,108.91
Week43,121.0
Week44,113.47
Week45,125.37
Week46,104.6
Week47,119.89
Week48,100.7
Week49,114.4
Week50,117.2
Week51,102.94
Week52,141.1
