,value
Week1,83.2
Week2,87.47
Week3,114.46
Week4,106.22
Week5,104.23
Week6,89.29
Week7,94.48
Week8,84.83
Week9,91.32
Week10,88.52
Week11,95.2
Week12,105.62
Week13,123.04
Week14,103.96
Week15,124.36
Week16,106.11
Week17,98.17
Week18,123.88
Week19,104.53
Week20,109.6
Week21,122.81
Week22,123.19
Week23,100.12
Week24,107.88
Week25,124.23
Week26,109.21
Week27,120.46
Week28,113.48
Week29,137.82
Week30,109.33
Week31,117.74
Week32,121.75
Week33,108.52
Week34,96.46
Week35,80.43
Week36,117.93
Week37,85.29
Week38,124.1
Week39,113.86
Week40,96.03
Week41,97.27
Week42,100.07
Week43,119.85
Week44,124.64
Week45,120.59
Week46,105.7
Week47,125.53
Week48,145.0
Week49,117.48
Week50,115.36
Week51,140.15
Week52,107.02
