,value
Week1,89.67
Week2,105.71
Week3,124.49
Week4,108.71
Week5,75.28
Week6,114.64
Week7,92.71
Week8,118.33
Week9,99.53
Week10,85.13
Week11,86.84
Week12,106.26
Week13,83.57
Week14,98.88
Week15,79.43
Week16,98.85
Week17,88.52
Week18,90.89
Week19,55.43
Week20,103.52
Week21,108.38
Week22,104.84
Week23,92.78
Week24,88.33
Week25,69.82
Week26,81.99
Week27,111.0
Week28,72.71
Week29,53.41
Week30,110.15
Week31,63.61
Week32,83.18
Week33,94.54
Week34,60.49
Week35,117.47
Week36,92.6
Week37,98.3
Week38,77.17
Week39,90.26
Week40,110.98
Week41,108.16
Week42,111.32
Week43,86.72
Week44,77.55
Week45,78.6
Week46,92.26
Week47,70.59
Week48,95.02
Week49,52.68
Week50,90.92
Week51,66.39
Week52,54.33
