,value
Week1,113.11
Week2,98.51
Week3,80.25
Week4,109.76
Week5,100.6
Week6,84.51
Week7,89.35
Week8,103.29
Week9,117.16
Week10,100.91
Week11,113.08
Week12,114.12
Week13,95.49
Week14,117.87
Week15,103.54
Week16,89.12
Week17,103.84
Week18,103.13
Week19,81.22
Week20,116.57
Week21,133.89
Week22,94.37
Week23,109.71
Week24,137.31
Week25,133.75
Week26,142.09
Week27,105.39
Week28,105.86
Week29,80.67
Week30,129.93
Week31,126.35
Week32,113.62
Week33,123.51
Week34,104.49
Week35,96.59
Week36,92.53
Week37,92.18
Week38,119.69
Week39,133.32
Week40,121.96
Week41,112.42
Week42,115.37
Week43,124.48
Week44,138.12
Week45,89.74
Week46,116.56
Week47,100.46
Week48,136.08
Week49,116.03
Week50,125.4
Week51,106.14
Week52,92.82
