,value
Week1,93.66
Week2,82.8
Week3,83.19
Week4,84.94
Week5,107.94
Week6,93.58
Week7,76.54
Week8,86.55
Week9,114.93
Week10,98.9
Week11,84.91
Week12,123.02
Week13,84.37
Week14,107.01
Week15,70.63
Week16,93.43
Week17,120.98
Week18,100.01
Week19,93.7
Week20,101.59
Week21,85.64
Week22,126.59
Week23,94.78
Week24,110.87
Week25,99.1
Week26,101.26
Week27,115.02
Week28,98.45
Week29,93.89
Week30,105.83
Week31,92.01
Week32,117.77
Week33,72.48
Week34,122.62
Week35,90.19
Week36,87.73
Week37,132.65
Week38,106.16
Week39,117.84
Week40,105.31
Week41,85.42
Week42,117.14
Week43,112.54
Week44,104.16
Week45,93.46
Week46,120.43
Week47,107.71
Week48,83.47
Week49,118.97
Week50,107.97
Week51,101.23
Week52,101.76
