,value
Week1,102.12
Week2,62.81
Week3,86.79
Week4,75.51
Week5,82.98
Week6,106.33
Week7,73.37
Week8,113.39
Week9,108.51
Week10,119.93
Week11,88.86
Week12,103.49
Week13,104.52
Week14,71.31
Week15,102.42
Week16,102.69
Week17,112.83
Week18,96.81
Week19,88.56
Week20,110.41
Week21,110.48
Week22,103.55
Week23,70.38
Week24,91.63
Week25,70.13
Week26,99.44
Week27,58.78
Week28,89.33
Week29,96.13
Week30,72.26
Week31,79.74
Week32,70.41
Week33,75.31
Week34,83.0
Week35,55.6
Week36,71.07
Week37,92.49
Week38,63.12
Week39,96.65
Week40,80.68
Week41,78.12
Week42,90.78
Week43,67.51
Week44,44.18
Week45,79.01
Week46,69.06
Week47,91.2
Week48,84.9
Week49,64.57
Week50,99.76
Week51,73.43
Week52,63.49
