,value
Week1,92.87
Week2,91.67
Week3,101.49
Week4,101.54
Week5,110.6
Week6,80.83
Week7,86.01
Week8,118.47
Week9,85.03
Week10,90.33
Week11,128.31
Week12,83.52
Week13,102.11
Week14,101.39
Week15,104.63
Week16,90.78
Week17,86.61
Week18,121.41
Week19,112.95
Week20,99.92
Week21,119.6
Week22,108.67
Week23,118.68
Week24,86.76
Week25,91.73
Week26,69.49
Week27,94.27
Week28,79.53
Week29,80.49
Week30,111.13
Week31,81.04
Week32,59.83
Week33,60.84
Week34,87.94
Week35,93.04
Week36,81.38
Week37,97.54
Week38,110.19
Week39,84.4
Week40,101.63
Week41,81.78
Week42,61.84
Week43,79.28
Week44,88.46
Week45,86.1
Week46,103.29
Week47,106.92
Week48,84.74
Week49,77.98
Week50,68.03
Week51,107.23
Week52,73.0
