,value
Week1,96.7
Week2,109.53
Week3,94.14
Week4,113.52
Week5,103.92
Week6,92.0
Week7,85.79
Week8,109.12
Week9,111.57
Week10,96.24
Week11,99.3
Week12,81.63
Week13,90.85
Week14,97.99
Week15,103.21
Week16,101.72
Week17,95.47
Week18,82.64
Week19,79.78
Week20,100.7
Week21,82.31
Week22,95.89
Week23,84.37
Week24,97.84
Week25,91.06
Week26,70.3
Week27,83.41
Week28,73.89
Week29,69.29
Week30,85.33
Week31,54.54
Week32,76.49
Week33,87.32
Week34,78.85
Week35,86.1
Week36,78.8
Week37,77.77
Week38,72.4
Week39,60.52
Week40,84.34
Week41,81.34
Week42,79.43
Week43,84.72
Week44,63.9
Week45,78.95
Week46,83.54
Week47,93.9
Week48,95.86
Week49,72.05
Week50,102.53
Week51,73.45
Week52,63.08
