,value
Week1,104.86
Week2,93.65
Week3,91.65
Week4,118.75
Week5,97.49
Week6,85.34
Week7,102.94
Week8,87.67
Week9,106.59
Week10,92.65
Week11,118.14
Week12,89.64
Week13,98.95
Week14,96.03
Week15,108.93
Week16,69.68
Week17,123.74
Week18,97.61
Week19,101.59
Week20,111.34
Week21,109.59
Week22,102.19
Week23,103.8
Week24,97.22
Week25,92.09
Week26,90.17
Week27,100.94
Week28,110.72
Week29,112.26
Week30,111.66
Week31,114.16
Week32,98.81
Week33,111.68
Week34,109.79
Week35,115.8
Week36,117.22
Week37,82.64
Week38,86.38
Week39,131.04
Week40,107.51
Week41,109.8
Week42,107.37
Week43,106.34
Week44,120.8
Week45,108.76
Week46,108.55
Week47,131.3
Week48,122.23
Week49,133.89
Week50,155.36
Week51,106.18
Week52,115.85
