,value
Week1,114.57
Week2,113.0
Week3,110.33
Week4,93.28
Week5,106.03
Week6,94.7
Week7,108.59
Week8,110.01
Week9,93.77
Week10,119.91
Week11,117.15
Week12,89.37
Week13,96.68
Week14,111.69
Week15,120.78
Week16,92.52
Week17,106.69
Week18,111.75
Week19,96.94
Week20,99.24
Week21,77.45
Week22,87.89
Week23,95.28
Week24,76.61
Week25,102.39
Week26,120.99
Week27,90.37
Week28,113.56
Week29,69.44
Week30,121.77
Week31,106.74
Week32,104.9
Week33,66.35
Week34,123.55
Week35,84.1
Week36,101.0
Week37,106.07
Week38,95.49
Week39,85.51
Week40,103.44
Week41,107.17
Week42,96.94
Week43,115.06
Week44,84.25
Week45,93.97
Week46,105.16
Week47,113.46
Week48,92.88
Week49,82.62
Week50,103.0
Week51,113.48
Week52,81.07
