,value
Week1,94.24
Week2,103.23
Week3,100.43
Week4,95.21
Week5,98.3
Week6,95.27
Week7,92.14
Week8,116.44
Week9,88.98
Week10,106.63
Week11,104.86
Week12,102.98
Week13,102.45
Week14,113.56
Week15,112.38
Week16,91.88
Week17,136.65
Week18,104.82
Week19,82.7
Week20,89.08
Week21,90.18
Week22,118.36
Week23,117.29
Week24,114.21
Week25,114.4
Week26,76.12
Week27,122.57
Week28,103.03
Week29,153.14
Week30,135.28
Week31,105.33
Week32,95.62
Week33,125.01
Week34,102.42
Week35,104.54
Week36,135.38
Week37,119.82
Week38,108.5
Week39,102.94
Week40,118.98
Week41,128.6
Week42,119.22
Week43,93.98
Week44,110.67
Week45,85.86
Week46,106.47
Week47,126.27
Week48,105.37
Week49,112.22
Week50,97.57
Week51,116.8
Week52,115.63
