,value
Week1,90.52
Week2,106.32
Week3,106.48
Week4,104.43
Week5,90.41
Week6,105.56
Week7,123.7
Week8,107.58
Week9,89.57
Week10,81.79
Week11,124.88
Week12,104.79
Week13,80.31
Week14,95.9
Week15,102.38
Week16,121.55
Week17,67.8
Week18,106.92
Week19,114.32
Week20,105.58
Week21,107.36
Week22,99.24
Week23,117.49
Week24,105.51
Week25,118.66
Week26,117.88
Week27,102.89
Week28,95.44
Week29,88.53
Week30,102.6
Week31,125.38
Week32,82.0
Week33,87.39
Week34,121.18
Week35,97.89
Week36,106.55
Week37,92.57
Week38,108.82
Week39,109.56
Week40,89.45
Week41,69.68
Week42,85.09
Week43,101.92
Week44,90.31
Week45,105.06
Week46,98.12
Week47,96.66
Week48,75.78
Week49,86.33
Week50,96.58
Week51,99.96
Week52,84.68
