,value
Week1,72.75
Week2,105.28
Week3,110.17
Week4,81.25
Week5,103.39
Week6,79.44
Week7,98.23
Week8,97.87
Week9,77.73
Week10,78.54
Week11,92.23
Week12,109.17
Week13,84.26
Week14,102.03
Week15,99.68
Week16,79.19
Week17,102.8
Week18,77.69
Week19,88.09
Week20,69.97
Week21,119.97
Week22,100.38
Week23,117.6
Week24,113.62
Week25,85.79
Week26,89.28
Week27,83.75
Week28,98.18
Week29,89.44
Week30,78.67
Week31,108.04
Week32,125.91
Week33,101.45
Week34,67.06
Week35,113.38
Week36,79.21
Week37,76.25
Week38,102.23
Week39,103.8
Week40,107.59
Week41,127.14
Week42,95.91
Week43,85.82
Week44,102.43
Week45,113.31
Week46,103.28
Week47,84.92
Week48,102.67
Week49,133.34
Week50,106.55
Week51,108.52
Week52,106.0
