,value
Week1,108.43
Week2,102.16
Week3,102.16
Week4,96.38
Week5,105.51
Week6,76.3
Week7,101.9
Week8,89.4
Week9,146.45
Week10,94.76
Week11,103.48
Week12,112.6
Week13,118.15
Week14,110.36
Week15,116.15
Week16,98.96
Week17,125.76
Week18,83.35
Week19,94.29
Week20,112.94
Week21,92.58
Week22,105.21
Week23,88.34
Week24,82.22
Week25,77.39
Week26,120.76
Week27,129.98
Week28,109.48
Week29,131.97
Week30,104.83
Week31,116.61
Week32,111.34
Week33,106.77
Week34,99.7
Week35,107.55
Week36,114.07
Week37,112.16
Week38,104.2
Week39,116.05
Week40,123.23
Week41,137.61
Week42,100.61
Week43,122.04
Week44,112.97
Week45,100.11
Week46,110.7
Week47,138.69
Week48,138.07
Week49,104.24
Week50,132.84
Week51,114.23
Week52,109.85
